NOME;CATEGORIA
ACETILCISTE�NA;EXPECTORANTES BALSAMICOS E MUCOLITICO
ACETILCISTE�NA;EXPECTORANTES BALSAMICOS E MUCOLITICO
ACETILCISTE�NA;EXPECTORANTES BALSAMICOS E MUCOLITICO
ACETILCISTE�NA;EXPECTORANTES BALSAMICOS E MUCOLITICO
ACETILCISTE�NA;EXPECTORANTES BALSAMICOS E MUCOLITICO
ACETILDOR;ANALGESICOS NAO NARCOTICOS
ACETONIDA DE TRIANCINOLONA;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
ACETONIDA DE TRIANCINOLONA;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
ACETONIDO DE TRIANCINOLONA+SULFATO DE NEOMICINA+GRAMICIDINA+NISTATINA;ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS
ACETONIDO DE TRIANCINOLONA+SULFATO DE NEOMICINA+GRAMICIDINA+NISTATINA;ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS
ACEVITON;VITAMINAS
ACFOL;ANTIANEMICOS
ACHEFLAN;ANTINFLAMATORIOS + FITOTERAPICO SIMPLES
ACICLOMAX;ANTIVIROTICOS (INIBE REPLICACAO VIROTICA)
ACICLOMED;ANTIVIROTICOS (INIBE REPLICACAO VIROTICA)
ACICLOR;ANTIVIROTICOS
ACICLOVIR;ANTIVIROTICOS
ACICLOVIR;ANTIVIROTICOS
ACICLOVIR;ANTIVIROTICOS
ACICLOVIR;ANTIVIROTICOS
ACICLOVIR;ANTIVIROTICOS
ACICLOVIR;ANTIVIROTICOS (INIBE REPLICACAO VIROTICA)
ACICLOVIR;ANTIVIROTICOS
ACICLOVIR;ANTIVIROTICOS
ACICLOVIR;ANTIVIROTICOS (INIBE REPLICACAO VIROTICA)
ACICLOVIR;ANTIVIROTICOS (INIBE REPLICACAO VIROTICA)
ACICLOVIR;ANTIVIROTICOS
ACICLOVIR;ANTIVIROTICOS
ACICLOVIR;ANTIVIROTICOS
ACICLOVIR;ANTIVIROTICOS
ACICLOVIR;ANTIVIROTICOS (INIBE REPLICACAO VIROTICA)
ACICLOVIR;ANTIVIROTICOS
ACICLOVIR;ANTIVIROTICOS
ACICLOVIR;ANTIVIROTICOS
ACICLOVIR;ANTIVIROTICOS
ACICLOVIR;ANTIVIROTICOS
ACICLOVIR;ANTIVIROTICOS
ACICLOVIR;ANTIVIROTICOS (INIBE REPLICACAO VIROTICA)
ACICLOVIR;ANTIVIROTICOS
ACICLOVIR;ANTIVIROTICOS
ACICLOVIR;ANTIVIROTICOS
ACICLOVIR;ANTIVIROTICOS
ACICLOVIR;ANTIVIROTICOS
ACICLOVIR;ANTIVIROTICOS
ACICLOVIR;ANTIVIROTICOS
ACICLOVIR S�DICO;ANTIVIRAIS
�CIDO  MEFEN�MICO;ANTINFLAMATORIOS
ACIDO ACETILSALICILICO;ANALGESICOS NAO NARCOTICOS
ACIDO ACETILSALICILICO;ANALGESICOS NAO NARCOTICOS
ACIDO ACETILSALICILICO;ANALGESICOS NAO NARCOTICOS
ACIDO ACETILSALICILICO;ANALGESICOS NAO NARCOTICOS
�CIDO ACETILSALIC�LICO;ANALGESICOS NAO NARCOTICOS
�CIDO ACETILSALIC�LICO;ANALGESICOS NAO NARCOTICOS
�CIDO ACETILSALIC�LICO;ANALGESICOS NAO NARCOTICOS
�CIDO ASC�RBICO HYPOFARMA;MONOVITAMINAS EXCETO VITAMINA K
�CIDO FUS�DICO;ANTINFECCIOSOS TOPICOS
�CIDO FUS�DICO + VALERATO DE BETAMETASONA;ANTIMICOTICOS PARA USO TOPICO
�CIDO GAMA AMINOBUT�RICO + RESERPINA;NEUROPSICOESTIMULANTES
ACIDO MEFENAMICO;ANTINFLAMATORIOS ANTIREUMATICOS
ACIDO MEFENAMICO;ANTINFLAMATORIOS ANTIREUMATICOS
�CIDO MEFEN�MICO;ANTINFLAMATORIOS
�CIDO MEFEN�MICO;ANTINFLAMATORIOS ANTIREUMATICOS
�CIDO MEFEN�MICO;ANTINFLAMATORIOS
�CIDO MEFEN�MICO;ANTINFLAMATORIOS ANTIREUMATICOS
ACIDO TRANEXAMICO;ANTIFIBRINOLITICOS
ACIDO TRANEXAMICO;ANTIFIBRINOLITICOS
�CIDO TRANEX�MICO;ANTIFIBRINOLITICOS
�CIDO TRANEX�MICO;ANTIFIBRINOLITICOS
�CIDO URSODESOXIC�LICO;COLAGOGOS, COLERETICOS E HEPATOPROTETORES
�CIDO URSODESOXIC�LICO;COLAGOGOS, COLERETICOS E HEPATOPROTETORES
�CIDO VALPR�ICO;ANTICONVULSIVANTES
ACIDO ZOLEDRONICO;SUPRESSORES DA REABSORCAO OSSEA
ACIDO ZOLEDRONICO;SUPRESSORES DA REABSORCAO OSSEA
ACIDO ZOLEDRONICO;SUPRESSORES DA REABSORCAO OSSEA
�CIDO ZOLEDR�NICO;ANTINEOPLASICO
�CIDO ZOLEDR�NICO;SUPRESSORES DA REABSORCAO OSSEA
�CIDO ZOLEDR�NICO;ANTINEOPLASICO
�CIDO ZOLEDR�NICO;SUPRESSORES DA REABSORCAO OSSEA
�CIDO ZOLEDR�NICO;SUPRESSORES DA REABSORCAO OSSEA
�CIDO ZOLEDR�NICO;ANTINEOPLASICO
�CIDO ZOLEDR�NICO;ANTINEOPLASICO + SUPRESSORES DA REABSORCAO OSSEA
ACITRETINA;CERATOLITICOS E CERATOPLASTICOS
ACIVIRAX;ANTIVIROTICOS
ACLAF;ANTIBIOTICOS SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS
ACLAF;ANTIBIOTICOS SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS
ACLASTA;SUPRESSORES DA REABSORCAO OSSEA
ACNASE;PRODUTOS ANTI-ACNE
ACNIL;PRODUTOS ANTI-ACNE
ACNOVA;PRODUTOS ANTI-ACNE
ACOG;
ACTEMRA;ANTINFLAMATORIOS ANTIREUMATICOS
ACTIFEDRIN;ANTI-HISTAMINICOS SISTEMICOS
ACTILYSE;ANTICOAGULANTES FIBRINOLITICOS E PROTEOLITICOS N/DIGE
ACTIVE PLUS;
ACTONEL;SUPRESSORES DA REABSORCAO OSSEA
ACU FRESH;OUTROS MEDICAMENTOS COM ACAO NO APARELHO VISUAL
ACULAR;ANTINFLAMATORIOS
AD FURP;EMOLIENTES E PROTETORES DA PELE E MUCOSAS
ADACEL;VACINAS
ADACEL POLIO;VACINAS
ADACNE;PRODUTOS ANTI-ACNE
ADACNE CLIN;PRODUTOS ANTI-ACNE
ADAKVEO;OUTROS AGENTES HEMATOL�GICOS
ADALAT;ANTIANGINOSOS E VASODILATADORES
ADAPALENO;PRODUTOS ANTI-ACNE
ADAPALENO;PRODUTOS ANTI-ACNE
ADAPEL;PRODUTOS ANTI-ACNE
ADAPTIS GEL;OUTROS MEDICAMENTOS COM ACAO NO APARELHO VISUAL
ADCETRIS;ANTINEOPLASICO
ADDAVEN;NUTRIENTES PARENTERAIS
ADDERA D3;ANALOGO SINTETICO DA VITAMINA D
ADEFORTE;POLIVITAMINICOS SEM MINERAIS
ADEMPAS;ANTI-HIPERTENSIVOS
ADENOCARD;OUTROS PRODUTOS COM ACAO NO MIOCARDIO E SISTEMA DE CONDUCAO
ADENON;MEDICAMENTOS DINAMIZADOS COMPOSTOS
ADENOSINA;OUTROS PRODUTOS COM ACAO NO MIOCARDIO E SISTEMA DE CONDUCAO
ADENOSINA;OUTROS PRODUTOS COM ACAO NO MIOCARDIO E SISTEMA DE CONDUCAO
ADILOZ;ANTIBIOTICOS SISTEMICOS SIMPLES
ADINOS;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
ADINOS GEN;GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA
ADIPEPT;ANTIACIDOS E ANTIULCEROSOS
ADMELOG;ANTIDIABETICOS
AD-MUC;ANTINFLAMATORIOS + FITOTERAPICO SIMPLES
ADOLESS;ANTICONCEPCIONAIS
ADORLAN;ANALGESICOS NARCOTICOS
ADREN;MEDICAMENTOS C/ ACAO NO MIOCARDIO
ADRIBLASTINA;ANTIBIOTICOS ANTINEOPLASICOS
AD-TIL;POLIVITAMINICOS SEM MINERAIS
ADVANTAN;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.
ADVATE;OUTROS PRODUTOS QUE ATUAM NO SANGUE E HEMATOPOIESE
ADVIL;ANALGESICOS NAO NARCOTICOS
ADVIL 12H;ANALGESICOS NAO NARCOTICOS
AD-VITAM;POLIVITAMINICOS SEM MINERAIS
ADYNOVATE;OUTROS PRODUTOS QUE ATUAM NO SANGUE E HEMATOPOIESE
AERODINI;BRONCODILATADORES
AERODIVENT;BRONCODILATADORES
AEROFLUX;EXPECTORANTES
AEROFRIN;BRONCODILATADORES
AEROGOLD;BRONCODILATADORES
AERO-IFAL;BRONCODILATADORES
AEROLIN;BRONCODILATADORES
AEROMED;BRONCODILATADORES
AEROTRAT;BRONCODILATADORES
AFINITOR;ANTINEOPLASICO
AFOLIC;ANTIANEMICOS SIMPLES
AFOLIC INFANTIL;ANTIANEMICOS SIMPLES
AFOPIC;ANTIANEMICOS
AFRAT;SUPRESSORES DA REABSORCAO OSSEA
AFREZZA;ANTIDIABETICOS
AFRIN;DESCONGESTIONANTES NASAIS TOPICOS
AFSTYLA;OUTROS PRODUTOS ANTI-HEMORRAGICOS
AFTINE;PRODUTOS PARA OROFARINGE
�GAPE;PROGESTAGENOS SIMPLES
AGAROL;LAXANTES IRRITANTES OU ESTIMULANTES
AGIOLAX;LAXANTES INCREMENTADORES DO BOLO INTESTINAL
AGLITIL;ANTIDIABETICOS
AGLUCOSE;ANTIDIABETICOS
AGOMELATINA;ANTIDEPRESSIVOS
AGOMELATINA;ANTIDEPRESSIVOS
AGOXOM;ANTIDEPRESSIVOS
AGRASTAT;ANTIAGREGANTE PLAQUETARIO
AGREG;OUTROS MEDICAMENTOS DE ACAO NO APARELHO CARDIOVASCULAR
AGRYLIN;OUTROS AGENTES ANTINEOPL�SICOS
�GUA BACTERIOST�TICA;DILUENTES E VEICULOS DE MEDICAMENTOS
�GUA EST�RIL BAXTER;DILUENTES E VEICULOS DE MEDICAMENTOS
�GUA EST�RIL PARA INJET�VEIS BEKER;DILUENTES E VEICULOS DE MEDICAMENTOS
AGUA INGLESA CATARINENSE;FITOTERAPICO COMPOSTO
AGUA PARA INJE�AO;DILUENTES E VEICULOS DE MEDICAMENTOS
AGUA PARA INJE��O;DILUENTES E VEICULOS DE MEDICAMENTOS
�GUA PARA INJE��O;DILUENTES E VEICULOS DE MEDICAMENTOS
�GUA PARA INJE��O;DILUENTES E VEICULOS DE MEDICAMENTOS
�GUA PARA INJE��O;DILUENTES E VEICULOS DE MEDICAMENTOS
�GUA PARA INJE��O;DILUENTES E VEICULOS DE MEDICAMENTOS
�GUA PARA INJE��O;DILUENTES E VEICULOS DE MEDICAMENTOS
�GUA PARA INJE��O;SUBSTANCIA SEM CLASSIFICACAO TERAPEUTICA
�GUA PARA INJE��O;DILUENTES E VEICULOS DE MEDICAMENTOS
�GUA PARA INJE��O B. BRAUN;DILUENTES E VEICULOS DE MEDICAMENTOS
�GUA PARA INJE��O HYPOFARMA;DILUENTES E VEICULOS DE MEDICAMENTOS
AGUA PARA INJETAVEIS;DILUENTES E VEICULOS DE MEDICAMENTOS
�GUA PARA INJETAV�IS;DILUENTES E VEICULOS DE MEDICAMENTOS
�GUA PARA INJET�VEIS;DILUENTES E VEICULOS DE MEDICAMENTOS
�GUA PARA INJET�VEIS;DILUENTES E VEICULOS DE MEDICAMENTOS
�GUA PARA INJET�VEIS;DILUENTES E VEICULOS DE MEDICAMENTOS
�GUA PARA INJET�VEIS;DILUENTES E VEICULOS DE MEDICAMENTOS
�GUA PARA INJET�VEIS BASA;DILUENTES E VEICULOS DE MEDICAMENTOS
�GUA PARA IRRIGA��O;PRODUTOS PARA PROCEDIMENTOS ESPECIALIZADOS
AGUD;ANALGESICOS NARCOTICOS
AH-ZUL;VASODILATADORES
AIPRI;ANTIPSICOTICOS
AIRES;EXPECTORANTES BALSAMICOS E MUCOLITICO
AIRES;EXPECTORANTES BALSAMICOS E MUCOLITICO
AIXA;ANTICONCEPCIONAIS
AJOVY;OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO
AKINETON;ANTIPARKINSONIANOS
AKSSUS;ANTINEOPLASICO
AKYNZEO;ANTIEM�TICOS E ANTINAUSEANTES
ALBEL;ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL
ALBENDAZOL;ALBENDAZOL + ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL
ALBENDAZOL;ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL
ALBENDAZOL;ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL
ALBENDAZOL;ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL
ALBENDAZOL;ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL
ALBENDAZOL;ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL
ALBENDAZOL;ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL
ALBENDAZOL;ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL
ALBENDAZOL;ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL
ALBENDAZOL;ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL
ALBENDAZOL;ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL
ALBENDAZOL;ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL
ALBENDAZOL;ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL
ALBENDAZOL;ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL
ALBENDAZOL;ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL
ALBENDAZOL;ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL
ALBENDAZOL;ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL
ALBENDAZOL 40 MG/ML SUSPENS�O ORAL;ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL
ALBENTEL;ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL
ALBENTEL;ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL
ALBIOMIN;FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA
ALBISTIN;ANTIMICOTICO
ALBOCRESIL;PRODUTOS GINECOLOGICOS ANTINFECCIOSOS TOPICOS SIMPLES
ALBUMAX;FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA
ALBUMINA HUMANA;FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA
ALBUMINA HUMANA;FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA
ALBUMINA HUMANA GRIFOLS;FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA
ALBUMINA S�RICA HUMANA NORMAL;FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA
ALBUNEX;PRODUTOS PARA DIAGNOSTICO POR IMAGEM
ALBUREX 20;SUBSTITUTOS DO PLASMA E EXPANSORES PLASMATICOS
ALCACHOFRA  HERBARIUM;COLAGOGOS E COLERETICOS + FITOTERAPICO SIMPLES
ALCACHOFRA CELLOFARM;COLAGOGOS E COLERETICOS
ALCACHOFRA MULTILAB;COLAGOGOS E COLERETICOS
ALCACHOFRA NATULAB;COLAGOGOS E COLERETICOS + FITOTERAPICO SIMPLES
ALCACHOFRA VIDORA;COLAGOGOS E COLERETICOS
ALCACHOFRAX;COLAGOGOS E COLERETICOS
ALCAGEST;COLAGOGOS E COLERETICOS + FITOTERAPICO SIMPLES
ALCAHERB;COLAGOGOS E COLERETICOS + FITOTERAPICO SIMPLES
ALCANATAN;COLAGOGOS E COLERETICOS + FITOTERAPICO SIMPLES
ALCYTAM;ANTIDEPRESSIVOS
ALDACTONE;DIURETICOS
ALDAZIDA;ANTI-HIPERTENSIVOS
ALDIJET;ANTICONCEPCIONAIS
ALDOMET;ANTI-HIPERTENSIVOS SIMPLES
ALDOSTERIN;ANTI-HIPERTENSIVOS
ALDURAZYME;ENZIMA PARA REPOSI�AO
ALECENSA;AGENTES ANTINEOPL�SICOS + AGENTES ANTINEOPL�SICOS E IMUNOMODULADORES + OUTROS AGENTES ANTINEOPL�SICOS
ALEKTOS;ANTI-HISTAMINICOS SISTEMICOS
ALEKTOS PED;ANTI-HISTAMINICOS SISTEMICOS
ALENDIL;SUPRESSORES DA REABSORCAO OSSEA
ALENDIL C�LCIO D;VITAMINAS E SUPLEMENTOS MINERAIS
ALENDRONATO DE SODIO;SUPRESSORES DA REABSORCAO OSSEA
ALENDRONATO DE SODIO;SUPRESSORES DA REABSORCAO OSSEA
ALENDRONATO DE SODIO;SUPRESSORES DA REABSORCAO OSSEA
ALENDRONATO DE S�DIO;SUPRESSORES DA REABSORCAO OSSEA
ALENDRONATO DE S�DIO;SUPRESSORES DA REABSORCAO OSSEA
ALENDRONATO DE S�DIO;SUPRESSORES DA REABSORCAO OSSEA
ALENDRONATO DE S�DIO;SUPRESSORES DA REABSORCAO OSSEA
ALENDRONATO DE S�DIO;SUPRESSORES DA REABSORCAO OSSEA
ALENDRONATO DE S�DIO;SUPRESSORES DA REABSORCAO OSSEA
ALENDRONATO DE S�DIO;SUPRESSORES DA REABSORCAO OSSEA
ALENDRONATO DE S�DIO;SUPRESSORES DA REABSORCAO OSSEA
ALENDRONATO DE S�DIO;SUPRESSORES DA REABSORCAO OSSEA
ALENDRONATO DE S�DIO;SUPRESSORES DA REABSORCAO OSSEA
ALENDRONATO DE S�DIO;SUPRESSORES DA REABSORCAO OSSEA
ALENDRONATO DE S�DIO;SUPRESSORES DA REABSORCAO OSSEA
ALENIA;ANTIASMATICOS
ALENTHUS XR;ANTIDEPRESSIVOS
ALERADINA;ANTI-HISTAMINICOS SISTEMICOS
ALERFIN;CORTICOSTEROIDES TOPICOS
ALERGALIV;ANTIALERGICOS
ALERGCORTEM;GLICOCORTICOIDES SISTEMICOS
ALERGIDEX;ANTI-HISTAMINICOS SISTEMICOS
ALERGOMINE;ANTIALERGICOS
ALEVO;ANTIBIOTICOS SISTEMICOS SIMPLES
ALEVO;ANTIBIOTICOS SISTEMICOS SIMPLES
ALFACRIS;ANTIALOPECIA
ALFAEPOETINA;OUTROS PRODUTOS QUE ATUAM NO SANGUE E HEMATOPOIESE
ALFAEPOETINA;OUTROS PRODUTOS QUE ATUAM NO SANGUE E HEMATOPOIESE
ALFAESTRADIOL;ANTIALOPECIA
ALFAESTRADIOL;ANTIALOPECIA
ALFAINTERFERONA 2B;OUTROS PRODUTOS COM ACAO IMUNOPROTETORA
ALFAINTERFERONA 2B (RECOMBINANTE);IMUNOMODULADOR
ALFASIN;INIBIDOR DA ALFA-REDUTASE
ALFAST;ANALGESICOS NARCOTICOS
ALFRON;ANSIOLITICOS SIMPLES
ALGESTONA ACETOFENIDA + ENANTATO DE ESTRADIOL;ANTICONCEPCIONAIS
ALGESTONA ACETOFENIDA + ENANTATO DE ESTRADIOL;ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS
ALGESTONA ACETOFENIDA + ENANTATO DE ESTRADIOL;ANTICONCEPCIONAIS
ALGESTONA ACETOFENIDA + ENANTATO DE ESTRADIOL;ANTICONCEPCIONAIS
ALGESTONA ACETOFENIDA + ENANTATO DE ESTRADIOL;ANTICONCEPCIONAIS
ALGESTONA ACETOFENIDA + ENANTATO DE ESTRADIOL;ANTICONCEPCIONAIS
ALGESTONA ACETOFENIDA + ENANTATO DE ESTRADIOL;ANTICONCEPCIONAIS
ALGEXIN COMPOSTO;ANTIESPASMODICOS
ALGICOD;ANALGESICOS NARCOTICOS
ALGIE;ANTIINFLAMAT�RIOS E ANTIREUM�TICOS
ALGINAC;ANTINFLAMATORIOS E ANTIREUMATIOS-ASSOCS  MEDICAMENTOSAS
ALGOYECT;ANTINFLAMATORIOS
ALGY-FLANDERIL;ANTINFLAMATORIOS ANTIREUMATICOS
ALICURA;ANALGESICOS NAO NARCOTICOS
ALIMAX;ANTICOAGULANTES + ANTINFLAMATORIOS
ALIMTA;ANTINEOPLASICO
